state_trial,state_name11
Andaman & Nicobar Island,Andaman & Nicobar Island
Arunanchal Pradesh,Arunanchal Pradesh
Assam,Assam
Bihar,Bihar
Chandigarh,Chandigarh
Chhattisgarh,Chhattisgarh
Dadara & Nagar Havelli,Dadara & Nagar Havelli
Daman & Diu,Daman & Diu
Goa,Goa
Gujarat,Gujarat
Haryana,Haryana
Himachal Pradesh,Himachal Pradesh
Jammu & Kashmir,Jammu & Kashmir
Jharkhand,Jharkhand
Karnataka,Karnataka
Kerala,Kerala
Lakshadweep,Lakshadweep
Madhya Pradesh,Madhya Pradesh
Maharashtra,Maharashtra
Manipur,Manipur
Meghalaya,Meghalaya
Mizoram,Mizoram
Nagaland,Nagaland
NCT of Delhi,NCT of Delhi
Puducherry,Puducherry
Punjab,Punjab
Rajasthan,Rajasthan
Sikkim,Sikkim
Tamil Nadu,Tamil Nadu
Telangana,Andhra Pradesh
Tripura,Tripura
Uttar Pradesh,Uttar Pradesh
Uttarakhand,Uttarakhand
West Bengal,West Bengal
Odisha,Odisha
Andhra Pradesh,Andhra Pradesh
